ID,Feed,Sentiment
,Wallah bravo,Positive
,M3alem,Positive
,كلهم بهايم وثقافتهم محدودة حتى في دينهم ربي قال إذا الشمس كورت موش الأرض يا أحمد كافون,Negative
,مشالله,Positive
,تمجيد المخلوع و نظامه هو قمة الاهانة لهذا الوطن و  قمة الوقاحة والإستهانة بمشاعر الشعب. تب لك ايها الاعلام الماجور,Negative
,Yessir bidoun ou rkik,Negative
,Masta lasta,Negative
,Mala manader mwachmim,Negative
,Mala mostawa wssolnelou fe télé :/ 5it chay y7achem,Negative
,Maset,Negative
,خرامسط,Negative
,الرجل المناسب في المكان المناسب,Positive
,Ma7lek bravo wasel w walh dmou3ek 5sara fihoum el koul toz a9herhoum be dame el berad,Positive
,"العرى و الكلسون الراعي الرسمي للرمضان سنا 
الطحين لا دين له -_-
قاعدين نتفرجو في الخمج و في الفكرة باش تاخذها الناس لخرة على التوانسة و موش مسلسل رمضان هذا
Samahni fik wallah la3ad netfaraj 3lik wallah ma yji nhar w tarja3 leswesra w tfakarni . chnouwa be3telhom ya samir
maaaaaaaaaaasssssit 3alli5ir
راك ماسط
Tfih 3lih tahan w la7as
برا روح
Mela fdhaye7 walat fi ha dawla masatouha l3iiiicha m3akm
لوكان  سترتي روحك خير
Karrrrrrrrrrzetni
3jbkm klemo..malla mant9 ..mas5 5amej..f tv w ya7ki akeka
ماسط لاسط و قفاف و الطحين يجري في دمو -_-
Mamsetha behima
Mala wa9aha
Malla m3afet
SADKOUNI AKTHAR WEHID NAKRHOU FI TOUNIS MOUCH ILGHANOUCH WILKLEB MTA3OU. mais ITTAHHHAAAN LIKBIR ILKABOUL SAAAAMI IL FEHRI  ILKELIB ISSSAKIT. TMA3ACH KIMA HAB FI 3AHID BEN ALI WITRABILSIA. OUTAWA HAOU WELLA WILID KAH........... FI 3AHID INNAHDHA.  TFOUH 3LIH OU 3ALLI DAYRINE BIH MIN SAMIR INNEKIS IL NAOUFEL ILBOUHEL
تفوه عليكم خماج
me5ybouuuu
Tfihh alihhh mala #mostawayet ",Negative
,واصل كريم,Positive
,"Rawa7 5iiiir""",Negative
,زمن الدنيا بالمقلوب وزير التربية وهو قليل التربية,Negative
,صوتها و احساسها يهبلووو مشالله عليها ميسا الماجري قليل وين نلقاو احساس و صوت كيف صوتها نشالله نشوفوها نحمة كبيرة,Positive
,Pfffffffff rak ghalet fi rouhek???!!!!,Negative
,ماسط كيف ولدو,Negative
,Raw3a,Positive
,ya3tih saha rouhou 5fiifa w fadléék  bravo et bon courage amine <3,Positive
, تقعد من خيرة الفنانات في تونس,Positive
,Masta,Negative
,tahfoun,Positive
,لعنة الله على الفجار ياحسرة على مسلسﻻت رمضان,Negative
,برشا قلة حيا و قلة تربية... أٓش باش تلقا في حفرتك نهار آخر يا سامي الواطي,Negative
,hhhh masseeet barchaaa,Negative
,بصراحة بيرم طلع ساقط,Negative
,Ma5ybihe,Negative
,M3alem badroch,Positive
,M3alma men m3almiet mousalsel awled moufida,Positive
,Tha3leb,Negative
,le ma7leha kaouther bel 7aj fi kol el adouer te3jibni,Positive
,مايخرجش عليك لكلام إلي تقول فيه يا شيخ أنت راجل كبير و تقول  في لكلام هذا و نحن مع العائلة عيب عليك :/  :(,Negative
,Ma7lehom lawled yecer y7ebou b3adhhom,Positive
,maset -_-,Negative
,Bravooooo #walid 3titoutou masroufou,Positive
,Mahlehom lzouz,Positive
,Ma7lek 3aycha,Positive
,Nmout 3lihhh 😍😍😍😍😍,Positive
,"محلاه محلاه ياخي باكو جي ولا سرفيس كيسان تقول باش يدخلوه معاهم في الجهاز، الطفل يعرف يغني و محترم و ربي يعينو فقط،",Positive
,M7lek ya dodu ;),Positive
,A7la dinya,Positive
,"بالله يزي من التمقعير ولوج على اصلك منين بالتحديد، ويزينا من راني ولد باب سويقة وما عاجبك شي وانت هو الي ما تعجبش",Negative
,يا ميمتي ممسطوا,Negative
,3lech ena 3ejbetni ! chab3a tho7k !,Positive
,وزير فاشل....برا شد ملفاتك..وهو الصباح في الإذاعات و العشيا في التلفزة...du jamais vu!!!!!!,Negative
,bravoooo,Positive
,جعفور يا معذبهم,Positive
,مسلسل متع قلة حياء يغرسوا في اولادنا قلة التربية والدعارة والزناء ويقللي ثقافة الله يهلك هالثقافة ويلعن اللي يمثلوا فيه واللي يعرضوا فيه واللي مولوه,Negative
,اول حلقة برشا ضرب و برشا بكا و برشا اثارة زادا برفوووووووا سامي,Positive
,سي صلاح معلم بأتم معنى الكلمة تبقينا كي لعزوزة تمسو تسمع حسو,Positive
,محلى زيني يا ربي,Positive
,منحط و تافه اخخه,Negative
,M3allem,Positive
,a7sen mouselsel 9a3id yet3ada houa we alou jeda,Positive
,"توفيق الغربي عار عار على الثقافة وعلى القناة
ماسطة لاسطة
Masta w rzina
Masataaaaaaaaaaaaaaaaaaaaaaa w zeblaaaaaaaaa
pffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff gadekech tefehe ya mo8ete
اسقط و انذل تونسي يدعي التمثيل و الانسانية و بداخله كره و حقد ايديلوجي اعمى
سيتكوم يُبين بالواضح المستوى المنحط للمنتج والمتفرج ",Negative
,ياسر ياسر ياسر رزينة,Negative
,te3jebni hanen,Positive
,لا يليق بهذا البرنامج لا هو لا قارة,Negative
,Marzin damou,Negative
,jaw ahla jaw :),Positive
,راجل كبير وفاة فلوسو,Negative
,منااااااااافقين والله ناقصنا كان اضايا !!!!!!! ماكمش باش تترباو!!!! احكيولنا شوية عالالمانية,Negative
,اجدع ناس,Positive
,3assoulaaaaaaz,Positive
,hhhhh baravo ya sami,Positive
,منك لله يا علي المريض ويا غنوشي انتم السبب اتفووووووووه عليكم يا خونة  يا مرتدين,Negative
,Ja3four wa7dek fi jaw,Positive
,Bravo sami,Positive
,الانسان هذا بلييبيييد,Negative
,Tayara,Positive
,احلى صباح لاحلى بنوتة عسولة,Positive
,Te3jebni  w nhebha baaarcha blhk rzina  w mt5alke  . t3jbni k mthle bravoooo,Positive
,شلغوم شرق عليه لوك جديد,Positive
,مسلسل ممتاز ثقافي عائلي,Positive
,مشالله عليه😘,Positive
,عار جديد و فضيحة جديدة الله يفضحك يا علا..جيب حكاية نضيفة لازم توريو للعالم الي توانسة زبالة??,Negative
,Tayaraaaa,Positive
,Oui bravo,Positive
,Borjoliyaa klem ha9 a7sen wehid fi rzaaan howaa,Positive
,فنانة مبدعة و راقية و عسل ♥♥ نحبها,Positive
,حسبي الله ونعم الوكيل هدل مريض وتاعب و ايمانه ناقص لازم نعدموهم من الحياة ناس متخافش ربي لعنة الله عليك ياضايع,Negative
,يا سي مورو معلم ديما كلامك موزون,Positive
,نور على نور يا نور شيبة محلاكم و محلا جوّكم,Positive
,متربي بارشا ان شاء الله بالتوفيق,Positive
,Bravo bravo malla kadija pourtant dawrha sa3ib,Positive
,Bkatni m3aha wallah bravo,Positive
,"",Negative
,Mahleha machaalah yeser mosrara,Positive
,A7ssen moumatel.,Positive
,ماسط لاسط >:(,Negative
,جميلة وحلوة وصوتها جميل ربي يكون معاها,Positive
,برجولية صلاح مصباح  غنايتو رروعة نتمني تتأقلم مع جيل اليوم,Positive
,mala jaw che5a mte3 tha7k bravooooooooooooooooooooooooo,Positive
,بالله يا أمين قارا إنسيبو البهيم و إنشدو بردعة . واحد مريظ بالفاحشة,Negative
,3sal :),Positive
,Raw3a,Positive
,Maset maset maset,Negative
,bravo,Positive
,مستوي منحط,Negative
,Bravo bravo,Positive
,يدعي النضال و هو اكبر منافق .. عدا سنين يضرب في الأورو في أوروبا و كي تحركت الرجال و نحت بن علي الكلب ركب عالأحداث و رجع يتبكى بدعوى المنفى ..,Negative
,امين قاره : أبسل شخص في شمال أفريقيا ههههه,Negative
,Mamstw lham hedhee,Negative
,masett :poop:,Negative
,yesser masta ma jet chay !!!,Negative
,Bayrem wa7dek.,Positive
,Hlou,Positive
,إنسان كارثة على البلاد ومريض ومتخلف ومنحط أخلاقيا ومهوش متربي,Negative
,Ahla amine <3,Positive
,مواطن علي درجة عالية من الاخلاق و الانسانية و حب البلاد ربي معاه و ربي يفرحو كيما فرحنا و ضحكنا,Positive
,Bravo lotfi (y) moumathel w comedy naje77 w mayhemek fi klem 7add rahom ghayrinn wasel,Positive
,Wejhou maktoub 3lih tafehaaaa,Negative
,chlekaaaaaaaaaaaaa,Negative
,سؤال بسيط . كيفش تنجمو تبيعو رواحك للدرجة هذي . قناة الوبنة و القحب,Negative
,M3aaaaaaaalleeem,Positive
,ربي يوفقك ونشوفوك ديما ناجح ومتالق .,Positive
,bravooo,Positive
,masset,Negative
,Tout simplement m3alem,Positive
,Borjouleya Msatet L'émission Dima Politique Politique Offffff,Negative
,Bravo Walid rajel,Positive
,mamstekkkkkkkkkkkkkkk,Negative
,الماكر والداهية,Negative
,hhh 7afletha,Positive
,rak maset rak laset w homani,Negative
,Tbarkallah a3lih,Positive
,Bravooooo,Positive
,Toppp :*,Positive
,Mala 5lay9 hcha 5li9t rabi ya fachlin fosad,Negative
,خردوووقة,Negative
,Ta3raf tmathel w adet dawra 3la a7sen wajh,Positive
,بربي علاش جايبينو؟ باش ينبر,Negative
,Ma7lek wasel <3,Positive
,Ma7lekom ines ilkol titfarej fikom 7al9a yalamiya braaaaaaaavo,Positive
,Bravo ya djoooo,Positive
,m3alem,Positive
,Bravo,Positive
,اجمل صوت و اجمل فنانة تونسية و اجمل امرأة تونسية,Positive
,Barcha fsed ya semi el fehri,Negative
,مسخ,Negative
,انا عحبتني لرشا اما بالله كريم يخلس على كل شلبوق,Positive
,malla manadher,Negative
,شعب تونس معروف بالنفاق و قلبان الفيسة,Negative
,Bravo,Positive
,وجيهة الجندوبي من أقوى الممثلين في تونس.,Positive
,Bravo walid,Positive
,موش خايب,Positive
,نحسو يضحك الناس من غير مجهود و تهريج .. كيما يعملو برشا .. برفو جعفر,Positive
,Fanana mouthakfa w t3ejebni ale3ker,Positive
,Masta mela drama  fi 7alka loula  pfff,Negative
,ma3jibnich dawrrik bsara7a w lanti mawatatikch jimla m la5r choix 4alit,Negative
,زوالي في مخو,Negative
,Mamsteeeeeekkkk wooooouuuuuhhhhhhhh e555555iiiiiiihhhhh,Negative
,والله جعفر القاسمي إنسان خلوق وحتى تفدليكو مقبول إنسان إجابي واصل خويا جعفر وعاون الناس ولك كل الإحترام مني خاصة ومن شعبنا عامة,Positive
,tbrklh aliha w rabbi yfathilhalik,Positive
,Ma7lha moslesl,Positive
,نحسها بهلوله شويا,Negative
,هذا  الظحكة متاع كلام الناس .يستبهل في التوانسة مانجح في شي يحب يعطينا دروس فالدين  وكلعادة المشكل الكرسي  يا فاشل وبهيم . على كل حال راك ضحكتنا على لخر . خوذ العلم من روس الفكارن هههههه,Negative
,والله لا عندو حتى موهبة متاع فكاهة جملا,Negative
,hhhhh Bravo sami 3ajbniii barcha دنيا اخرى,Positive
,Dawrha maajebnich,Negative
,Tfouhhh,Negative
,Mala remz,Negative
,ملهط,Negative
,behi jeyb rouhou,Positive
,ما نتفرجوش في ها الصنطوعة التافهة اخبارها الكل تاخذ فيها من الفايسنوك,Negative
,m3alem ja3four wahdou,Positive
,باهي إنشاء الله,Positive
,Ma3lem ye sami,Positive
,Bravo wlh machallah 3liha <3,Positive
,نجلاء محلاك في التمثيل و في كل شي,Positive
,Brachaaaaa 3jbtniiiiii,Positive
,برا راك ناجح,Positive
,مع الأسف لم يضحك أحد  في ذلك اليوم على خاترو مهوش ظامر حتى طرف,Negative
,كوميدي باهي برشا  برافو امير 3>,Positive
,ma7lahom bou zinhom :*,Positive
,تفوووووه,Negative
,ملا تلحيس,Negative
,Bsara7a walid kber fi 3ini w7assitou RAJEL.,Positive
,بابورك غرڤ,Negative
,"شوكات انا اشك في انك تونسي 
مخيبها الفازه عالللخر
Tfouh 3a lemarek
Msatet
حسبي اللّه و نعمة الوكيل فيكم هذا شخص عار و كذلك قناة الحوار التونسي
قناة الماخور التونسي تعمل لضرب الهوية الوطنية، في ذكرى يوم الارض يستضيفوا يهودي، لا حول ولا قوة الا بالله.
ملا مساطة
Mella 9ellet torbia 😠
Oh mala mostewe mon7at hetha yejbed fi omou w hetha y3akilou 3la bouh ou memetou mala 7ala
Haka chakib maye3jbou chay ken 5hli9tou
ناجي بهلول.. وزير التربية ناقص تربية.. برنامجو الإصلاحي. . كافون لجماعة الابتدائي.. و قطوس منال عمارة للثانوي و سارة جاي للجامعي.. .
Mabslek
msatik
hh tekber w tansa
زنوس مڨلبة
شيب و العيب والله كنت نحبو أما خسارة ما أقل حياه
والله محقهمش يجيبوهم في التلفزة عيب كبير اللواط ولى حرية شخصية قد ما تعيش تتعلم
hhhhhhhhhh cv moch mast
مسلسل تافه  وبعيد على الواقع و الممثلين الي فيه في المسلسل صيودا ويفلمو و البرا جبناء و موبن و اولهم صاحب القناة الفهري ....ولتوا متفرجتش فيه و متحلش في الدار ..شويا الو جدة وبعد نسيبتي لعزيزة و مبعدو ورد وشويا كورة و ترويح  و مبعد سهرية .......
ماكش متربيي مستوي منحت.
Ya 5ouya mamstek w marznek pfffffff mat9el damk
Masst i3ayef
yesser tefeh w masset
الله لتربحهم
mala e7tiram w mala torbia  yseb fi wzir fi wejho
kaleb we met7azeb
ماسطة لاسطة
Chy yhashim
Ma5ybek walah
ملا مستويات منحطة !!!!
Mathil 5maj malla nes
#كلاب  خليهم ياكلو بعضهم شمدخلنا فيهم أحنا
يلحس و قفف و حاول يتقرب لطفي العبدلي يا ولدي راك ماسط
Bsara7a ma3ejbetnich ma5iebha mesmema ejdod ka3ba lė 3al 7it
فريال قحبة
برجوليا معادش عندو نكهة دليلك ملك يا حسرة
wa7da 5amja kif bouha wo omha jaybinne mass5a5dmettha t3arri bzzazelha wo chkoune y7eb yrkeb tfouh ...........
Ta7an kbire
ياسر ماسط -_-
مريض
ماسط لاسط و قفاف و الطحين يجري في دمو -_-
و الله عيب و الله عيب ههه خخخخ
برا واحد يمشي يرقد خييييير",Negative
,المعلم   <3,Positive
,Hatha 9lil 7yaa mouch mitribi jimla lmafrouth waldih y3awdou yrabouh min jdide ech nakrho wa marzin damo,Negative
,Ya ja3four yam3alm touns kol m3ak w kolna yed wahda ;),Positive
,"وهاك الديوث سمير ديلو ماد وجهو الطحان""",Negative
,Machalah,Positive
,Mahlek nhebek barchaa :),Negative
,KERTHA,Negative
,Borjouliya m3alem,Positive
,Le 3ale9a,Negative
,هو إنسان ماسك لاصط,Negative
,مرا تعجبني برشا,Positive
,تحسو احول وماسط شوييييا,Negative
,Bon ta7founa moch 5ayba rabi m3ha,Positive
,راك ماسط راك لاسط و ما عادش دجيبوه بربي,Negative
,Maseeeeeeet laset wallah en7ire fi la3bed kifech tadh7k 7ata Nawfel maset kifo mandher m9alba chlayk,Negative
,مقداد السهيلي  معروف حياتك كاملة قفاااااااااف راجل كبير يتضرب بطريقة هاذيكا و هو يقول لازمو هاكاكا زايد جيعان و ساقط,Negative
,فنان يعجب التوانسة و متالق  في غنيات,Positive
,Nour ya m3lam bravo wasel rabi m3ak wtwanssa lkol fa5ourin bik,Positive
,m3alim borjolia 😂,Positive
,Brabi maedech tjibo heda saif elmetkalef .mouch metrobi w bal3out hata mafehem chay ye3ayet w ysih w yofred f roho mala mostawa.,Negative
,"ja3four y bogoos … nchlh dima men 7asan ila a7san ,wasel :*",Positive
,M3alem 😍,Positive
,العيب مش فيه العيب في إلي جابو للبرنامج !!!!! تو الحرام رديتوه حرية شخصية !!!! و النقاب رديتوه تخلف و مش متاعنا !!! ربي يهديكم وكاهو !!!!!,Negative
,"برافو ماكسي على دفاعك على الفن من العفن الفني، الى الامام.",Positive
,اول مرى ماشي في بالي فنان لاكن ظهر في الاخر فنان  كم انت كبير يا ابن الخضراء,Positive
,الي الجحيم يا متثقف يا متاع اليونان,Negative
,tfih tou heth idha7k tfih 3la rmazetkom,Negative
,Kamcha so9at homell  ilawjoun ken ala flouss w tffffffffffoh🔥🔥🔥⛽⛽⛽,Negative
,Bnjjjr Ya 3asel,Positive
,يا معلم برجولية جعفور يعجبني و موش نرمال و ربي عينى,Positive
,"راك ماصط راك لاصط...راكم سلعه كلخه ما إتشيخشي الراس سخفاااااااااااااااء...",Negative
,Mala 7ala,Negative
,برنامج تافه فارغ و زيد الضيوف حالة مكربة مخيبك متكلفة ؛هو قنعك إللي الجرأة مطلوبة و مبررة وإنت كان جات شخصيتك قوية راك أقنعتو إللي لو صوتك طيارة من غير ما تعري روحك تنجح,Negative
,مرزن عصها,Negative
,توا هده مسلسل في شهر رمضان شهر كريم,Negative
,متفرجتش اما يستحق كلمة كلاب سوق و نماذج مسخ صورة الممثلين كان عندهم صورة,Negative
,تفوه ملا أشكال,Negative
,braaaaaaaaaaaaaaavo alaa,Positive
,chay tayera wawawawawa walah,Positive
,mella mehezla nesem3ou feha kol youm winha el mou7esba,Negative
,Ma7leha rabi yfadhelhellek,Positive
,sel3aaa mala mase5,Negative
,Bravo naji 👍👍👍👍👍👍👍,Positive
,مبدع هذا الصافي السعيد الاستماع اليه افضل من الاستماع لجميع قمامات الاعلام يستحق جائزة نوبل في الخطابة على ثقافته و ابداعه.,Positive
,Wlh m3alme wlh,Positive
,"عاهرة ... نكرة في زميلها او بالأحرا استاذها ""احمد الاندلسي"" باش تمجد فرخ ميبون .",Negative
,Malla malhit nakrih halmandhir fidam,Negative
,على الاقل ماتنساوش بلي المسلسل ياعدا في شهر فضيل عيييييييييييييب وعار رانا نتفرجو في عايلة,Negative
,bravoooooooooo walid ettounsi yaatik alf sahha,Positive
,Bravo Mr le juge,Positive
,Ya em3lil ya walid,Positive
,hhhhhhhhhhhh bravoooo Hanan,Positive
,moukhtar etlili  kif ala3da  barcha tbal3it barcha  kithbe  barcha trahdine,Negative
,Bhima,Negative
,ماسط -_-',Negative
,Ensan tafeh,Negative
,Maset laset men 9bal man hathmouch pfffff,Negative
,صوت رائع جدا,Positive
,طيارة....... يلزمنا انشجعوا الفن اتونسي مهما كانت صفتوا.,Positive
,لباهي فيك انك ولد جمعية,Positive
,"مسلسل شذوذ الجنسي وقلة الاحترام وتشجيع القحاب على الزنا والخيانة ...""",Negative
,ti chbih ya7ki hakka 9ouloulou yestarjel we ya7ki ki erjal ma5yab rasou,Negative
,حيوااااان,Negative
,L7a9 mich fih fikom entoma klem enes 3atine 9ima w 9dar w m5alino ya7ki w 3atino korsi . La7as w ta7an,Negative
,hloua bracha,Positive
,tfiiiihhh 3ala chleyek,Negative
,mi3llllllllmi,Positive
,maaaasta,Negative
,فسدة,Negative
,chnowa ha elmsata pff,Negative
,bsar7a momthla raw3a  wenchallaH  betawfi9,Positive
,brabi tsami fi rou7ha momathla n7eb nes2lha win mathlet w ela 3la tleth adwar fachlin kifha radet rou7ha momathla w ta7ki 3la ahmed landolsiii nsi7a t7el hanout mlewi 5ir etamthil mech mt3ek w barbi la3ad t9olou 3lha moumthla 5ater Artiste kima 9alt hiya avec un grand A mech mte3 enes eli kifek w kima 9al karim rahi t8iiiiidh rahi tbakiiiiiii wa7da kifek t7seb rou7ha Artiste,Negative
,A7la ja3fouuur barvo ja3fouuur ya m3alam j'aime ja3four,Positive
,Ta7founa,Positive
,برااااااااافو ناجح 1000%,Positive
,Gadech nakrha ha toufla,Negative
,mràyédh meskiin ràbii yechfiih,Negative
,tbarkala 3lik rod balek mil 3inin maysa :*,Positive
,حلوة فكرتك يا سامي,Positive
,Bravo mekded shili .,Positive
,Tawfi9 elgharbi makhiiiiiiibek,Negative
,Bravoooo,Positive
,يعجبنى راجل وسيد الرجال,Positive
,m3allam,Positive
,Raw3a hhhhhhhh,Positive
,أحسن لقطة في أخر المسلسل,Positive
,yessir daloula ama ma7leha n7isha kifi,Positive
,e3lem el 3ar hata sebsi b tfadlik majbetohouch tahana :),Negative
,Mastaaaaa,Negative
,mamstou yebis barcha,Negative
,قعر,Negative
,Enta m3alim jaafour,Positive
,Bravo,Positive
,الجهل بأم عينه .. اللهم زدهُ علمًا ..,Negative
,"ريم فنانة و عليها لكلام  ماشاء الله عليها خلقة و خلوق و عمال وتزيد تزيان و حظور راقي منورة الشاشة التونسية  بالحق كانت حلقة استثنائية بوجود نجوم كيما ريم و هشام و زيد جابولنا انصاف ..       ......روعة....",Positive
,Bayreeeemm ma5ibouuuu walaaaa,Negative
,تافه وساذج ملا مستويات العيب موش منوا ملي مستدعيه,Negative
,Bravo neji jalloul,Positive
,تقتل محلها,Positive
,Rajel bsara7a bravo kberet fi 3ini walid,Positive
,Naf5a ro7ha,Negative
,مسكينة والله لا يزي ممثلة فاشلة و لا يزي تحل في فمها عل الرجال و تعطي في رايها في موضوع تافه كيفها و تدافع على كمشة مرضى كيفها تفوه عليك يا خامجة,Negative
,فساد و قلة حياء و عدم احترام لمفهوم العائلة التونسية يا سي المسخ حط في مخك راهو مزالو فمة ناس تحشم و تقدر البو و الخو و الام زادة مسلسل يفرت العائلة موش يلمها انا لتوا ما فهمت شنية الرسالة متاعو ها المسلسل كان لفساد و قلة التربية و الكلام الماسط الله يهلكك,Negative
,Tayara sotek,Positive
,chab3a tho7k bravoooooooooooo,Positive
,"M3alem amine w3andou 7ajet ya3mel  jaw  tbarkalah 3lih netmanew nchofouh dima fi klem ennes ... 5ir men naoufel lwartani 3andou barcha ri9 .,.,",Positive
,Mamemstou,Negative
,Bravo. Neji jalloul,Positive
,Masta w mas9th ines ka3brith li a5th mas9th,Negative
,يعطيك كلب يا سامى,Negative
,Ye3jibni ! <3 <3,Positive
,m'3allem,Positive
,kaleb berger,Negative
,رجل مثقف و يستحق الإحترام,Positive
,كلب ولد كلب,Negative
,A9waaaa wazyen moumathla tounsiya ....liliii yefhem wkol dawer yelezmou look mou3ayen,Positive
,ولّينا مهزلة آخر شيء أن ما يُسمّى بنور شيبة أصبح يفتي في القضاة.منين عندو الثقافة.هو الفن بعيد عنه فما بالك بالقضاء.خسئت يا غريب الفن,Negative
,Ja3fou  m3alem,Positive
,نهاية باهية ممتاز برافو انا ما نحبش نشكر أما كريت السبان علاش لا مسلسل كما المسلسلات العالمية الطرح ممتاز و النهاية روعة,Positive
,rajel 💖👍👏,Positive
,tfouh,Negative
,Barvo maryouma,Positive
,monafe9 w kadeb,Negative
,Maryouma ebkolha 3sal tbarkallah 3liha,Positive
,m3alem,Positive
,معلم يا كافون....,Positive
,Bravoo sami,Positive
,ربي انجحو وياخو ببدو ويوفقو,Positive
,Bravoooooo,Positive
,Ahla mariouma,Positive
,Tabarklah 3likom rabi ehanikom,Positive
,والله ثلاثة برافو عليكم,Positive
,مارق برش ..مريظ بلكلام,Negative
,المصاطه والتفاهة والريق البارد مش غريبه يلقاو معجبين في بلاد رئيسها بياع شراب,Negative
,منحبوش ماسط وقبيح ويحترم حتى حد وموش متربي وعندوش اخلاق جله,Negative
,الشيب و العيب في  اعلام عار ...,Negative
,rw3a,Positive
,السيدة الفاضلة محرزية انت فخر لنا و انشاالله كل سيدات البلدان الشرقية الاسلاميه يكونوا يخمموا كيفك و عندهم الطموح الي عندك و تونس مهما يصير تبقى ديما لباس هداه فيها مرا كيفك,Positive
,Bravo lotfi wassel,Positive
,Met5alef,Negative
,ja3four Mahlek wlh tounes mestha9a  Lik,Positive
,Tooooop de Toooooop 👍👏,Positive
,ena 😊❤👍,Positive
,kalb,Negative
,bravooooooooooooooo,Positive
,مشالله عليها,Positive
,Ma7leha,Positive
,yeser ri9,Negative
,انحطاط وسفاااله,Negative
,برافو سامي,Positive
,Baravoooooo wahra,Positive
,البوليسية كلاب صدق الي قال,Negative
,تفوه عليك الحق في دوله مسلمه متحربش آفات كيما هادي,Negative
,لطفي العبدلي كارثة اخلاقية ....الوقاحة تشكوك لقلة الادب,Negative
,توحشانااااااااااكم برشااااااااا,Positive
,ماسط لاسط .,Negative
,Mamesetha lila mager chakib,Negative
,مسلسل دعارة وإنحلال أخلاقي,Negative
,يكب سعده أكثر ملئ هو مكبوب,Negative
,Ma5ybou w marzin damou pfff,Negative
,ياسر معدة ياسر و ديما يعيط يفدد,Negative
,Inta im3alem,Positive
,في جرتك مشينا في العفس,Negative
,ممتاز,Positive
,تحفففه قدااه راقيه  عجبتني,Positive
,7ram 3likom wllh mat9adrouch pfffff,Negative
,Balti bravo a7sen rapeur n7bou,Positive
,Malla khallat hyaa mostawa monhatt,Negative
,Maseeeet,Negative
,M3allem,Positive
,اكبر منافق على وجه التاريخ,Negative
,Ma7laaaaaaaaaaaakom,Positive
,3sal,Positive
,لعنة الله على كل طحان بن طحان عاش وترعرع فالطحين !!,Negative
,Hhhhhhhhhh bravo,Positive
,برافوا يا أحلى وليد بردتلي شوية على قلبي...,Positive
,مشالله عليكم الزوز,Positive
,Bravo nawfel,Positive
,"سبحان الله شعب راضع طحين شعب يموت على القمع ههه بربي عطوني سبب واحد يخليكم تسبّو النّهضة علاش ما تسبّوش الأحزاب لي متسمية على التجمّع ؟؟
ماسط لاسط ماسط لاسط ماسط لاسط... اخر واحد يحكي ع الثقافة. فاقد الشیء لا يعطيه
ماسط عتيتوه اكثر من قيمتو ضيع الوقت ماااااااسط
يا ناااااااس بالله زيدو ثبتو معايا 
بصراحة شئ يحشم...عيب والله ... فما حاجات عيب... قلة احترام و تجريح للطفلة
maset laset
استغفر الله في شهر رمضان شياطين الجن مسلسلة قعدولنا شياطين الانس عفانا و عفاكم الله
Baya ana mata3jibnich wi manich 3arif chibaha tharba tharbtin tirikil bi roubitha rabi isabar 3alina la3 9al
Ya7ki 3lla torbya w houwa mouch motrobi
Malla mahezla 7sibkom rabi idaf3ou 3al ihoud i5it a3likom
تي شبيك ماسط حاقهم يحطوك تخدم في مكتب العلاقات مع المواطن
من قلة وجوه اللوح شديت لينا في ها الخشبة؟
حشاكم خرية وريحتو خرجت مالتفزة  . هو مش محترم ومش متربي ويحكي عالتربية كينو الوحيد في تونس متربي . وهو بالعكس الوحيد مش متربي في تونس هو مقداد السهيلي
كرهني في البرنامج
نحي راس بصل حت راس ثوم
شبيها ديما مخها خامج و ماشي كان للفساد بفففففففففففففففففففففففففففففففففف  
Masta lasta w majet chay bsara7a
Kalb ihodi ta7an 9awed tfoh 3lih
والله تمنيت القاضي كان زاد بزق على الكلب ناجي جلول
وبربي للجماعة الي يقولو هذا واقعنا..(معادش تعاودوها )",Negative
,Tayara,Positive
,Tfouuuuuuuuuuh 3la 5majkom,Negative
,عار عليك ايها الابله .  لوطي و يدعي بالإسلام و يقول حريه شخصية  fk you,Negative
,Maaaarzan mlèyktou 😣😣😣😖😖😖,Negative
,Jaw 3lih karim bravooo,Positive
,"يا بية إحشم على روحك ،جاية تعري في أكتافك راك عملت العار",Negative
,امسخ وقواد ورخيص وكلب,Negative
,Masta,Negative
,اقوى لقطة بصراحة مااحلى لعم وابن الخوه,Positive
,Ma5ybou manahdhmouch jiiiimla,Negative
,"ma7leha &announa, tdha7akni ena <3",Positive
,هدا هو سبب الفساد اللهم اجرنا من النار,Negative
,Makyabb southhha,Negative
